ID;Support Value
34;1
37;1
25;0.777777778
23;0.980769231
29;1
19;1
47;0.54368932
33;1
36;1
30;1
43;1
38;0.925925926
46;1
41;1
48;1
22;1
18;1
51;1
24;1
49;1
53;0.916666667
31;1
