ID;Learning Style;Strength
34;Reflective;5
37;Active;3
25;Active;1
23;Active;3
29;Active;9
19;Active;9
47;Active;5
33;Reflective;1
36;Reflective;3
30;Active;5
43;Active;7
38;Reflective;9
46;Active;5
41;Reflective;1
48;Reflective;1
22;Reflective;1
18;Reflective;1
51;Reflective;1
24;Active;5
49;Reflective;1
53;Active;3
31;Active;5
