ID;Support Value
34;1
37;1
25;0.666666667
23;0.980769231
29;1
19;1
47;0.990291262
33;0.98
36;0.994565217
30;1
43;1
38;0.981481481
46;1
41;0.8
48;0.6875
22;0.2
18;1
51;0
24;1
49;0.6
53;1
31;1
