ID;Support Value
34;1
37;0.98630137
25;0.888888889
23;0.980769231
29;0.995614035
19;1
47;0.990291262
33;0.99
36;1
30;0.996240602
43;0.941176471
38;0.981481481
46;1
41;0.96
48;1
22;0.8
18;0.75
51;1
24;1
49;0.933333333
53;0.916666667
31;1
