ID;Learning Style;Strength
34;Sequential;5
37;Sequential;1
25;Sequential;3
23;Sequential;7
29;Sequential;7
19;Global;1
47;Global;1
33;Global;1
36;Sequential;3
30;Sequential;3
43;Sequential;3
38;Sequential;1
46;Global;1
41;Sequential;1
48;Global;3
22;Sequential;5
18;Global;3
51;Global;1
24;Global;3
49;Global;1
53;Global;7
31;Global;3
