ID;Support Value
34;1
37;0.98630137
25;0.666666667
23;1
29;0.995614035
19;0.75
47;1
33;1
36;1
30;0.996240602
43;0.941176471
38;0.888888889
46;0.975609756
41;0.96
48;0.9375
22;1
18;1
51;0.75
24;0.875
49;1
53;0.916666667
31;0.996
